-2088,3568,15928
-2408,6632,15224
-4464,9592,12416
-5784,12784,8992
-6224,13720,6176
-4472,15440,1128
-1440,13088,-2672
-5064,15344,-5264
-6176,12224,-7200
-4376,12640,-10016
-792,10224,-11192
2080,9592,-13728
4640,5488,-12904
8024,632,-14488
9696,-4288,-11720
11680,-7664,-9680
12360,-10536,-5320
13648,-10128,-552
14864,-10008,2104
15184,-7064,-312
16184,-5536,-1392
14112,-5016,-3792
13568,-3928,-7584
11608,-560,-11312
9608,2984,-13160
5728,7504,-12392
1904,12784,-10296
-2576,15464,-4056
-4480,14800,1960
-6272,14888,5280
-7560,10528,9504
-7824,7192,12128
-6688,5496,13320
-6416,3392,15000
-6864,1160,15792
-3696,9920,12008
1128,15024,6944
9248,11992,1712
13936,8664,-1144
15512,3272,184
15752,1920,4448
15280,2960,4992
13544,1784,8584
14048,3208,9232
12040,4480,9016
16816,-3936,7152
14176,-3496,6536
18016,-5280,-3072
12832,-2688,-3936
10808,664,-11216
6320,6208,-13728
1032,12744,-9952
-1288,14064,-6824
-1816,14936,-6280
-3480,14640,-3272
-4976,14976,-2176
-6616,14928,24
-6848,14064,1264
-8192,12456,5152
-9224,11336,6504
-9440,8056,8352
-10352,7320,9360
-12440,2200,11256
-13168,1952,11256
-11760,-2976,10856
-19672,728,16680
-12504,-2344,10472
-12968,-3696,10200
-11976,-5192,7672
-12336,-8464,8200
-11176,-10752,6384
-10600,-11376,5320
-9128,-13120,3344
-8344,-14976,2904
-5608,-15512,-1200
-1888,-16368,-3544
1480,-15688,-6064
2280,-14304,-5784
3576,-17216,-6600
1584,-14736,-7320
-2816,-14904,-7528
-4872,-12528,-10360
-7128,-8808,-11312
-8688,-6584,-11696
-5776,-2296,-14200
-1920,-1448,-16256
-1056,-896,-16088
1920,-1776,-16624
2656,-1448,-16456
2608,-1880,-17376
2832,-2040,-17016
600,-936,-16608
200,-408,-16320
-48,40,-16200
976,-2192,-16056
1312,-672,-16512
1120,-328,-16296
3064,784,-15992
6560,1360,-15064
9848,2464,-12704
12064,2752,-10408
15256,3096,-8488
14488,2736,-5864
15248,3536,-3240
14664,4328,504
16152,3368,6272
12512,4344,8952
10432,6928,10584
3936,4392,14904
2496,5512,15008
-1312,3544,15592
-3992,2344,16488
-3760,2888,15184
-7832,2832,14880
-6544,3192,15096
-3136,2400,15552
-408,2528,16760
3104,1896,16216
6856,1160,14744
10368,-520,10264
14216,1024,7240
16664,3384,-48
15608,4504,-5576
12632,8792,-8472
3000,14792,-7856
-3920,15680,-4360
-6832,13152,368
-9304,12432,4576
-9648,11536,7376
-11224,6904,8912
-11304,2440,11152
-12464,-2456,11736
-11432,-3272,11880
-9936,-5816,13024
-6048,-12928,8696
-2840,-15192,4608
1392,-16864,-1160
3936,-15168,-6304
7232,-13664,-7816
9488,-11544,-9448
10096,-8224,-7952
10872,-2920,-13992
12112,-3960,-9336
12880,-1928,-9320
13056,128,-12760
11096,4184,-8840
9880,7464,-11624
7448,10176,-9728
5368,12696,-7656
3792,15000,-4832
1696,16800,-1632
32,14968,1096
-3192,15392,2304
-4688,14264,5112
-5496,13480,8416
-5616,12856,8392
-4936,11168,11440
-5832,9904,10824
-4456,10360,12824
-2728,9056,13664
-2912,9352,13824
-3320,9312,12944
72,13864,18136
-2424,6760,14280
-2648,5280,15312
-1120,2456,16544
1872,2048,16376
1712,1648,15984
3768,680,15624
6776,-720,14896
8096,-3784,14088
9248,-6352,13560
10128,-5896,8152
10296,-11440,9200
8240,-12712,6024
6264,-14808,2912
4344,-17904,-1600
3560,-15168,-3584
5120,-12536,-6824
5712,-9728,-9872
6520,-8584,-13272
3264,-7400,-14208
-1720,-4912,-15552
-4216,-6128,-15744
-7384,-6184,-13992
-10592,-7384,-10024
-12024,-8152,-7712
-12760,-9368,-4688
-13696,-10384,-2208
-12824,-10616,184
-10880,-10480,3136
-9608,-9272,6872
-5200,-13200,11216
-1712,-15040,7192
712,-14696,2440
7248,-14904,1864
12712,-11120,2320
11608,-8896,9208
11640,-5512,11912
2336,-6224,16448
-952,-8872,14904
-5088,-9072,11416
-11736,-8072,9072
-13104,-8832,5248
-15688,-4232,2008
-15688,-3608,-1416
-15080,-2648,-3528
-15544,-568,-5920
-15384,-744,-6392
-14272,-304,-7520
-13024,64,-9944
-10128,3032,-11648
-6928,2712,-16504
-2688,6488,-14568
1072,7592,-14072
4040,8544,-14032
7168,8936,-11768
9840,9248,-10080
12968,9936,-4400
13000,10392,-1392
12512,12008,1856
9960,13656,3376
6952,12216,6656
4904,10072,10080
4608,11440,12448
408,6416,13656
-3152,7568,13656
-6200,5320,13768
-8216,5144,13096
-10352,1696,12520
-9200,1496,13264
-7824,-440,14200
-6784,-416,15000
-6376,2672,15440
-7680,5040,14872
-10408,3552,11672
-14512,10448,4392
-15392,7008,608
-15696,1712,-5248
-14232,1232,-9288
-10224,2968,-11632
-6824,720,-14984
-1712,1136,-16448
5504,5064,-14752
9048,17400,-14200
3648,13984,-10232
6296,16496,-520
6936,13440,7864
3488,13224,5776
4496,11104,9936
8216,8536,12392
10360,6064,10152
11520,7808,7840
14152,7440,5288
13752,7288,2392
14408,8216,-824
12112,8144,-3656
11472,7632,-4616
12152,8136,-8440
7456,8776,-12072
6016,5760,-14088
1656,-1328,-15552
-4160,-5928,-14248
-5856,-9296,-11232
-9528,-10120,-8200
-11952,-12304,-3488
-14112,-8288,-328
-14840,-6368,5080
-12296,-3680,8944
-11544,-632,11928
-11144,2680,12664
-10168,8408,10240
-4264,13904,7408
5232,13328,3968
10584,11816,-360
11560,11368,-4456
10416,9616,-8136
7368,5296,-11600
8336,6976,-13056
6424,5600,-13896
3088,4640,-14784
1560,5168,-15296
680,3584,-15648
-208,4032,-15784
-1080,2616,-15752
-2712,3360,-16384
-3368,3576,-15264
-5248,4248,-14984
-6768,3992,-13736
-7360,4816,-14200
-8632,5472,-12584
-8608,5992,-11600
-10216,4488,-11432
-11888,3840,-9600
-14144,1008,-7712
-14128,-2632,-7440
-13896,-3512,-6744
-13088,-4952,-8512
-12296,-6256,-8704
-11976,-5200,-10320
